Time (min),Conversion
0.152,0.02298
0.882,0.04341
1.854,0.07339
1.855,0.07343
3.313,0.13046
3.555,0.13986
4.044,0.15806
5.26,0.19951
5.745,0.21453
6.23,0.22849
7.693,0.26382
8.42,0.27918
8.422,0.27922
8.905,0.28942
10.852,0.33251
11.586,0.34822
11.823,0.35312
12.071,0.3581
14.014,0.39402
14.986,0.41129
15.72,0.42454
15.721,0.42456
17.176,0.45127
18.148,0.46945
19.364,0.4916
19.369,0.49169
19.614,0.49577
20.582,0.51172
22.77,0.547
23.262,0.55474
23.75,0.56233
24.718,0.57713
26.418,0.60239
27.154,0.61311
27.886,0.62366
28.61,0.63401
30.311,0.65778
31.046,0.66782
32.021,0.68098
32.99,0.69398
34.203,0.7104
35.426,0.72721
36.644,0.74389
37.369,0.75358
38.096,0.76303
39.805,0.78389
41.024,0.79763
42.235,0.81044
42.475,0.81288
44.428,0.83199
45.89,0.84579
47.098,0.85719
47.102,0.85723
48.807,0.87375
49.774,0.88212
50.513,0.88804
52.455,0.90246
53.673,0.91069
54.884,0.91812
55.379,0.92091
57.565,0.93155
58.54,0.93562
60.245,0.94217
60.481,0.94305
63.161,0.95272
63.65,0.95437
65.599,0.96046
66.321,0.96244
68.758,0.9679
69.003,0.96836
70.709,0.97128
72.162,0.97352
74.355,0.97675
74.6,0.9771
76.062,0.97911
78.246,0.98182
80.196,0.98385
80.197,0.98385
81.659,0.9852
84.087,0.98736
85.793,0.98897
86.036,0.9892
87.012,0.99013
90.171,0.9929
91.39,0.99377
91.633,0.99392
92.609,0.99448
96.012,0.99567
97.474,0.99585
97.474,0.99585
98.206,0.99588
102.097,0.99567
103.071,0.99557
103.315,0.99555
103.559,0.99553
108.181,0.99567
108.669,0.9958
108.913,0.99587
109.155,0.99594
114.265,0.99844
114.266,0.99844
114.509,0.99858
114.752,0.99872
119.62,1.00102
