Time (min),Temperature (C),TG (mg),Mass Percentage,Conversion
0,36.87,8.7563,100,0
0.0167,36.85,8.7558,99.9942898256113,0.000318410494809
0.0334,36.78,8.7554,99.9897216861003,0.000573138890658
0.05,37.56,8.7552,99.9874376163448,0.000700503088581
0.0667,37.81,8.7549,99.9840115117116,0.000891549385468
0.0834,38.34,8.7545,99.9794433722006,0.001146277781315
0.1,38.66,8.7543,99.9771593024451,0.001273641979239
0.1167,39.2,8.7541,99.9748752326896,0.001401006177164
0.1334,39.93,8.7538,99.9714491280564,0.001592052474049
0.15,40.08,8.7536,99.9691650583009,0.001719416671973
0.1667,40.84,8.7533,99.9657389536676,0.00191046296886
0.1834,40.91,8.753,99.9623128490344,0.002101509265745
0.2,41.03,8.7526,99.9577447095234,0.002356237661594
0.2167,41.64,8.7521,99.9520345351347,0.002674648156403
0.2334,42.25,8.7517,99.9474663956237,0.002929376552251
0.25,42.37,8.7512,99.941756221235,0.00324778704706
0.2667,42.39,8.7508,99.937188081724,0.003502515442909
0.2834,43.58,8.7502,99.9303358724576,0.003884608036681
0.3,43.79,8.7497,99.9246256980688,0.00420301853149
0.3167,44.1,8.7491,99.9177734888024,0.004585111125262
0.3334,44.43,8.7485,99.9109212795359,0.004967203719034
0.35,45.23,8.7479,99.9040690702694,0.005349296312806
0.3667,45.2,8.7474,99.8983588958807,0.005667706807616
0.3834,46.05,8.7467,99.8903646517365,0.00611348150035
0.4,46.28,8.7461,99.88351244247,0.006495574094122
0.4167,46.27,8.7454,99.8755181983258,0.006941348786856
0.4334,47.1,8.7447,99.8675239541816,0.00738712347959
0.45,47.73,8.744,99.8595297100374,0.007832898172324
0.4667,47.97,8.7433,99.8515354658931,0.008278672865058
0.4834,48.35,8.7427,99.8446832566267,0.00866076545883
0.5,48.64,8.742,99.8366890124825,0.009106540151563
0.5167,49.16,8.7413,99.8286947683382,0.009552314844297
0.5334,49.94,8.7406,99.820700524194,0.00999808953703
0.55,50.16,8.7398,99.8115642451721,0.010507546328726
0.5667,50.28,8.7391,99.8035700010279,0.01095332102146
0.5834,50.94,8.7383,99.7944337220059,0.011462777813156
0.6,51.04,8.7375,99.7852974429839,0.011972234604852
0.6167,51.51,8.7367,99.776161163962,0.012481691396548
0.6334,51.8,8.736,99.7681669198177,0.012927466089282
0.65,52.57,8.7354,99.7613147105513,0.013309558683054
0.6667,52.85,8.7346,99.7521784315293,0.01381901547475
0.6834,53.3,8.7338,99.7430421525073,0.014328472266445
0.7,53.47,8.733,99.7339058734854,0.014837929058141
0.7167,54.13,8.7323,99.7259116293412,0.015283703750875
0.7334,54.47,8.7315,99.7167753503192,0.015793160542571
0.75,54.85,8.7307,99.7076390712973,0.016302617334267
0.7667,55.28,8.73,99.699644827153,0.016748392027001
0.7834,55.98,8.7292,99.6905085481311,0.017257848818697
0.8,55.85,8.7283,99.6802302342314,0.017830987709354
0.8167,56.73,8.7274,99.6699519203316,0.018404126600013
0.8334,57,8.7266,99.6608156413097,0.018913583391709
0.85,57.26,8.7258,99.6516793622877,0.019423040183405
0.8667,57.57,8.7249,99.641401048388,0.019996179074062
0.8834,58.58,8.7242,99.6334068042438,0.020441953766796
0.9,58.72,8.7232,99.6219864554664,0.021078774756416
0.9167,59.41,8.7223,99.6117081415667,0.021651913647073
0.9334,59.23,8.7214,99.6014298276669,0.022225052537732
0.95,60.26,8.7204,99.5900094788895,0.022861873527351
0.9667,60.49,8.7195,99.5797311649898,0.023435012418009
0.9834,61.02,8.7185,99.5683108162123,0.024071833407629
1,61.33,8.7174,99.5557484325571,0.024772336496211
1.0167,62.01,8.7163,99.5431860489019,0.025472839584792
