Time (min),Temperature (C),TG (mg),Temperature (Celsius),Exp. Repetition,Lifting,Material
4.35,75.74,5.907999953,75,1,YES,m-xylene solvate of Ibrutinib
4.366667,75.51,5.907999953,,,,
4.383333,75.23,5.910999987,,,,
4.4,75.61,5.910999987,,,,
4.416667,75.75,5.907999953,,,,
4.433333,75.15,5.909000029,,,,
4.45,75.39,5.907999953,,,,
4.466667,75.54,5.906999974,,,,
4.483333,75.49,5.906999974,,,,
4.5,75.19,5.906999974,,,,
4.516667,75.44,5.909000029,,,,
4.533333,75.21,5.904000037,,,,
4.55,75.33,5.902999961,,,,
4.566667,74.9,5.905999995,,,,
4.583333,75.43,5.905000016,,,,
4.6,74.92,5.902999961,,,,
4.616667,75.38,5.905000016,,,,
4.633333,75.22,5.904000037,,,,
4.65,75.39,5.904000037,,,,
4.666667,75.51,5.904000037,,,,
4.683333,75.44,5.902999961,,,,
4.7,75.32,5.904000037,,,,
4.716667,75.51,5.901000003,,,,
4.733333,75.39,5.902999961,,,,
4.75,75.48,5.901999982,,,,
4.766667,75.43,5.904000037,,,,
4.783333,75.34,5.901000003,,,,
4.8,75.25,5.904000037,,,,
4.816667,75.13,5.901999982,,,,
4.833333,75.37,5.902999961,,,,
4.85,75.26,5.901000003,,,,
4.866667,75.4,5.900000024,,,,
4.883333,75.36,5.900000024,,,,
4.9,75.42,5.899000045,,,,
4.916667,75.22,5.900000024,,,,
4.933333,75.32,5.901999982,,,,
4.95,75.67,5.901000003,,,,
4.966667,75.15,5.900000024,,,,
4.983333,75.5,5.899000045,,,,
5,74.99,5.902999961,,,,
5.016667,75.53,5.900000024,,,,
5.033333,75.32,5.897999969,,,,
5.05,75.7,5.901000003,,,,
5.066667,75.35,5.899000045,,,,
5.083333,75.26,5.899000045,,,,
5.1,75.46,5.899000045,,,,
5.116667,75.24,5.897999969,,,,
5.133333,75.47,5.899000045,,,,
5.15,75.53,5.899000045,,,,
5.166667,75.46,5.899000045,,,,
5.183333,75.26,5.89699999,,,,
5.2,75.48,5.89699999,,,,
5.216667,75.31,5.900000024,,,,
5.233333,75.17,5.897999969,,,,
5.25,75.23,5.897999969,,,,
5.266667,75.63,5.89699999,,,,
5.283333,75.36,5.897999969,,,,
5.3,75.44,5.899000045,,,,
5.316667,75.52,5.897999969,,,,
5.333333,75.2,5.897999969,,,,
5.35,75.77,5.900000024,,,,
5.366667,75.28,5.897999969,,,,
5.383333,75.4,5.89699999,,,,
5.4,75.34,5.901000003,,,,
5.416667,75.56,5.896000011,,,,
5.433333,75.36,5.896000011,,,,
5.45,75.29,5.89699999,,,,
5.466667,75.37,5.899000045,,,,
5.483333,75.06,5.896000011,,,,
5.5,75.45,5.901000003,,,,
5.516667,75.63,5.895000032,,,,
5.533333,75.28,5.896000011,,,,
5.55,75.35,5.899000045,,,,
5.566667,75.48,5.89699999,,,,
5.583333,75.43,5.896000011,,,,
5.6,75.29,5.900000024,,,,
5.616667,75.24,5.89699999,,,,
5.633333,75.68,5.89699999,,,,
5.65,75.43,5.895000032,,,,
5.666667,75.5,5.89699999,,,,
5.683333,75.94,5.896000011,,,,
5.7,75.18,5.896000011,,,,
5.716667,75.27,5.895000032,,,,
5.733333,75.4,5.896000011,,,,
5.75,75.35,5.896000011,,,,
5.766667,75.59,5.893999957,,,,
5.783333,75.14,5.897999969,,,,
5.8,75.48,5.895000032,,,,
5.816667,75.3,5.89699999,,,,
5.833333,75.66,5.896000011,,,,
5.85,75.35,5.896000011,,,,
5.866667,75.17,5.895000032,,,,
5.883333,75.02,5.896000011,,,,
5.9,75.47,5.896000011,,,,
5.916667,75.51,5.89699999,,,,
5.933333,75.22,5.896000011,,,,
5.95,75.19,5.892999977,,,,
5.966667,75,5.896000011,,,,
5.983333,75.04,5.897999969,,,,
6,75.23,5.89699999,,,,
6.016667,75.46,5.896000011,,,,
6.033333,75.07,5.895000032,,,,
6.05,75.23,5.89699999,,,,
6.066667,75.42,5.892999977,,,,
6.083333,75.5,5.896000011,,,,
6.1,75.25,5.891000019,,,,
6.116667,75.35,5.892999977,,,,
6.133333,75.16,5.892999977,,,,
6.15,75.37,5.892999977,,,,
6.166667,74.95,5.893999957,,,,
6.183333,74.96,5.892999977,,,,
6.2,75.21,5.895000032,,,,
6.216667,75.14,5.891999998,,,,
6.233333,75.17,5.892999977,,,,
6.25,75.38,5.892999977,,,,
6.266667,75.08,5.892999977,,,,
6.283333,75.47,5.895000032,,,,
6.3,75.07,5.893999957,,,,
6.316667,75.3,5.892999977,,,,
6.333333,75.14,5.891999998,,,,
6.35,75.33,5.893999957,,,,
6.366667,75.11,5.893999957,,,,
6.383333,75.3,5.891000019,,,,
6.4,75.22,5.892999977,,,,
6.416667,75.28,5.892999977,,,,
6.433333,75.12,5.893999957,,,,
6.45,75.05,5.892999977,,,,
6.466667,75.19,5.891999998,,,,
6.483333,75.17,5.891999998,,,,
6.5,75.42,5.892999977,,,,
6.516667,75.26,5.888999965,,,,
6.533333,74.92,5.893999957,,,,
6.55,75.48,5.892999977,,,,
6.566667,75.62,5.891000019,,,,
6.583333,74.91,5.891999998,,,,
6.6,75.34,5.892999977,,,,
6.616667,75.19,5.891999998,,,,
6.633333,74.96,5.891999998,,,,
6.65,75.34,5.892999977,,,,
6.666667,75.9,5.893999957,,,,
6.683333,75.42,5.891999998,,,,
6.7,75.56,5.891000019,,,,
6.716667,75.28,5.891999998,,,,
6.733333,75.54,5.891000019,,,,
6.75,75.27,5.89000004,,,,
6.766667,75.24,5.887999985,,,,
6.783333,75.32,5.891000019,,,,
6.8,75.73,5.891999998,,,,
6.816667,75.31,5.891000019,,,,
6.833333,75.39,5.89000004,,,,
6.85,75.05,5.89000004,,,,
6.866667,75.39,5.891000019,,,,
6.883333,75.28,5.891000019,,,,
6.9,75.17,5.892999977,,,,
6.916667,75.58,5.89000004,,,,
6.933333,75.24,5.888999965,,,,
6.95,75.18,5.892999977,,,,
6.966667,75.45,5.892999977,,,,
6.983333,75.36,5.89000004,,,,
7,75.17,5.891000019,,,,
7.016667,75.38,5.89000004,,,,
7.033333,75.38,5.891999998,,,,
7.05,75.34,5.891999998,,,,
7.066667,75.5,5.891000019,,,,
7.083333,75.06,5.891999998,,,,
7.1,74.98,5.89000004,,,,
7.116667,75.29,5.891000019,,,,
7.133333,75.43,5.888999965,,,,
7.15,75.44,5.888999965,,,,
7.166667,75.25,5.888999965,,,,
7.183333,75.19,5.888999965,,,,
7.2,75.2,5.887999985,,,,
7.216667,75.13,5.89000004,,,,
7.233333,75.65,5.89000004,,,,
7.25,75.25,5.89000004,,,,
7.266667,75.45,5.89000004,,,,
7.283333,75.14,5.888999965,,,,
7.3,75.27,5.891000019,,,,
7.316667,75.46,5.89000004,,,,
7.333333,75.25,5.888999965,,,,
7.35,75.4,5.888999965,,,,
7.366667,75.32,5.891000019,,,,
7.383333,75.56,5.888999965,,,,
7.4,75.48,5.887999985,,,,
7.416667,75.66,5.887999985,,,,
7.433333,75.69,5.887000006,,,,
7.45,75.46,5.887999985,,,,
7.466667,75.08,5.887000006,,,,
7.483333,75.02,5.887999985,,,,
7.5,75.44,5.887000006,,,,
7.516667,75.44,5.89000004,,,,
7.533333,75.46,5.887999985,,,,
7.55,75.24,5.886000027,,,,
7.566667,75.47,5.89000004,,,,
7.583333,75.26,5.888999965,,,,
7.6,75.26,5.888999965,,,,
7.616667,75.07,5.887999985,,,,
7.633333,75.33,5.89000004,,,,
7.65,75.36,5.887000006,,,,
7.666667,75.58,5.888999965,,,,
7.683333,75.29,5.888999965,,,,
7.7,75.19,5.887999985,,,,
7.716667,75.42,5.886000027,,,,
7.733333,75.38,5.885000048,,,,
7.75,75.26,5.887999985,,,,
7.766667,75.39,5.887999985,,,,
7.783333,75.46,5.887000006,,,,
7.8,75.39,5.888999965,,,,
7.816667,75.15,5.89000004,,,,
7.833333,75.52,5.887999985,,,,
7.85,75.38,5.887000006,,,,
7.866667,75.47,5.886000027,,,,
7.883333,75.39,5.888999965,,,,
7.9,75.14,5.886000027,,,,
7.916667,75.29,5.883999973,,,,
7.933333,75.06,5.887000006,,,,
7.95,75.38,5.887999985,,,,
7.966667,75.48,5.887000006,,,,
7.983333,75.55,5.887000006,,,,
8,75.39,5.885000048,,,,
8.016667,75.28,5.886000027,,,,
8.033333,75.05,5.883999973,,,,
8.05,75.36,5.885000048,,,,
8.066667,75.44,5.886000027,,,,
8.083333,75.5,5.885000048,,,,
8.1,75.38,5.882999994,,,,
8.116667,75.13,5.886000027,,,,
8.133333,75.28,5.886000027,,,,
8.15,75.31,5.883999973,,,,
8.166667,75.46,5.883999973,,,,
8.183333,75.45,5.886000027,,,,
8.2,75.39,5.883999973,,,,
8.216667,75.34,5.883999973,,,,
8.233333,75.55,5.885000048,,,,
8.25,75.58,5.882999994,,,,
8.266667,75.57,5.883999973,,,,
8.283333,75.3,5.883999973,,,,
8.3,75.35,5.883999973,,,,
8.316667,75.19,5.883999973,,,,
8.333333,75.68,5.883999973,,,,
8.35,75.17,5.882000014,,,,
8.366667,75.5,5.883999973,,,,
8.383333,75.29,5.883999973,,,,
8.4,75.3,5.883999973,,,,
8.416667,75.25,5.881000035,,,,
8.433333,75.26,5.882999994,,,,
8.45,75.38,5.883999973,,,,
8.466667,75.59,5.882999994,,,,
8.483333,75.11,5.886000027,,,,
8.5,75.34,5.882999994,,,,
8.516667,75.43,5.882000014,,,,
8.533333,75.45,5.885000048,,,,
8.55,75.48,5.883999973,,,,
8.566667,75.23,5.882000014,,,,
8.583333,75.17,5.885000048,,,,
8.6,75.76,5.881000035,,,,
8.616667,75.32,5.885000048,,,,
8.633333,75.15,5.882000014,,,,
8.65,75.39,5.882000014,,,,
8.666667,75.38,5.882999994,,,,
8.683333,75.62,5.882999994,,,,
8.7,75.41,5.881000035,,,,
8.716667,75.23,5.882999994,,,,
8.733333,75.23,5.883999973,,,,
8.75,74.91,5.883999973,,,,
8.766667,75.28,5.885000048,,,,
8.783333,75.29,5.882000014,,,,
8.8,75.46,5.885000048,,,,
8.816667,75.38,5.882000014,,,,
8.833333,75.55,5.881000035,,,,
8.85,75.29,5.882000014,,,,
8.866667,75.26,5.87999996,,,,
8.883333,75.3,5.87999996,,,,
8.9,75.21,5.882999994,,,,
8.916667,75.06,5.882999994,,,,
8.933333,75.27,5.87999996,,,,
8.95,75.34,5.881000035,,,,
8.966667,75.05,5.878999981,,,,
8.983333,75.2,5.882999994,,,,
9,75.11,5.881000035,,,,
9.016667,75.12,5.881000035,,,,
9.033333,75.54,5.881000035,,,,
9.05,75.26,5.885000048,,,,
9.066667,75.13,5.878000002,,,,
9.083333,75.36,5.87999996,,,,
9.1,75.21,5.881000035,,,,
9.116667,75.55,5.878999981,,,,
9.133333,75.46,5.878999981,,,,
9.15,75.05,5.878999981,,,,
9.166667,75.2,5.878999981,,,,
9.183333,75.32,5.876000043,,,,
9.2,75.11,5.878000002,,,,
9.216667,75.19,5.878000002,,,,
9.233333,75.47,5.878000002,,,,
9.25,75.21,5.878000002,,,,
9.266667,75.15,5.878999981,,,,
9.283333,75.09,5.877000023,,,,
9.3,75.3,5.878999981,,,,
9.316667,75.7,5.877000023,,,,
9.333333,75.22,5.877000023,,,,
9.35,75.09,5.876000043,,,,
9.366667,75.28,5.876000043,,,,
9.383333,75.33,5.878999981,,,,
9.4,75.1,5.876000043,,,,
9.416667,75.54,5.877000023,,,,
9.433333,75.51,5.877000023,,,,
9.45,74.91,5.878999981,,,,
9.466667,75.31,5.878000002,,,,
9.483333,75.21,5.877000023,,,,
9.5,75.03,5.877000023,,,,
9.516667,75.41,5.876000043,,,,
9.533333,75.14,5.877000023,,,,
9.55,74.81,5.876000043,,,,
9.566667,75.41,5.877000023,,,,
9.583333,75.12,5.876000043,,,,
9.6,75,5.877000023,,,,
9.616667,75.05,5.877000023,,,,
9.633333,75.42,5.878000002,,,,
9.65,75.34,5.877000023,,,,
9.666667,75.4,5.874999968,,,,
9.683333,75.14,5.876000043,,,,
9.7,75.6,5.874999968,,,,
9.716667,75.45,5.876000043,,,,
9.733333,75.71,5.876000043,,,,
9.75,75.55,5.874999968,,,,
9.766667,75.6,5.874999968,,,,
9.783333,75.24,5.873999989,,,,
9.8,75.47,5.873999989,,,,
9.816667,75.15,5.872000031,,,,
9.833333,75.39,5.873999989,,,,
9.85,75.26,5.876000043,,,,
9.866667,75.03,5.872000031,,,,
9.883333,75.21,5.874999968,,,,
9.9,75.13,5.874999968,,,,
9.916667,75.23,5.873999989,,,,
9.933333,75.28,5.874999968,,,,
9.95,75.36,5.874999968,,,,
9.966667,75.1,5.872000031,,,,
9.983333,75.56,5.870999955,,,,
10,75.27,5.873999989,,,,
10.016667,75.75,5.87300001,,,,
10.033333,75.28,5.872000031,,,,
10.05,75.38,5.873999989,,,,
10.066667,75.38,5.87300001,,,,
10.083333,75.29,5.87300001,,,,
10.1,75.56,5.87300001,,,,
10.116667,75,5.87300001,,,,
10.133333,75.21,5.874999968,,,,
10.15,75.32,5.872000031,,,,
10.166667,74.99,5.87300001,,,,
10.183333,75.25,5.873999989,,,,
10.2,75.35,5.870999955,,,,
10.216667,75.38,5.870999955,,,,
10.233333,74.97,5.87300001,,,,
10.25,75.32,5.868999997,,,,
10.266667,75.35,5.872000031,,,,
10.283333,75.26,5.870999955,,,,
10.3,75.22,5.869999976,,,,
10.316667,75.25,5.87300001,,,,
10.333333,75.26,5.870999955,,,,
10.35,75.25,5.869999976,,,,
10.366667,75.24,5.872000031,,,,
10.383333,75.27,5.872000031,,,,
10.4,75.18,5.869999976,,,,
10.416667,75.3,5.872000031,,,,
10.433333,75.09,5.870999955,,,,
10.45,75.26,5.869999976,,,,
10.466667,75.71,5.869999976,,,,
10.483333,74.82,5.868999997,,,,
10.5,74.99,5.872000031,,,,
10.516667,75.12,5.868999997,,,,
10.533333,75.18,5.869999976,,,,
10.55,75.27,5.868000018,,,,
10.566667,75.29,5.867000039,,,,
10.583333,75.29,5.868999997,,,,
10.6,75.28,5.868000018,,,,
10.616667,75.14,5.868999997,,,,
10.633333,75.32,5.867000039,,,,
10.65,75.26,5.868999997,,,,
10.666667,75.38,5.868000018,,,,
10.683333,75,5.868000018,,,,
10.7,75.21,5.865999963,,,,
10.716667,75.19,5.868000018,,,,
10.733333,75.4,5.867000039,,,,
10.75,75.42,5.864999984,,,,
10.766667,75.38,5.868000018,,,,
10.783333,75.4,5.867000039,,,,
10.8,75.37,5.864000005,,,,
10.816667,74.87,5.865999963,,,,
10.833333,75.26,5.867000039,,,,
10.85,74.92,5.867000039,,,,
10.866667,75.31,5.865999963,,,,
10.883333,75.48,5.865999963,,,,
10.9,75.48,5.864000005,,,,
10.916667,75.49,5.864999984,,,,
10.933333,74.89,5.865999963,,,,
10.95,75.26,5.864000005,,,,
10.966667,75.46,5.864999984,,,,
10.983333,75.29,5.864999984,,,,
11,75.02,5.863000026,,,,
11.016667,75.25,5.864000005,,,,
11.033333,75.13,5.864999984,,,,
11.05,75.39,5.864000005,,,,
11.066667,75.63,5.864000005,,,,
11.083333,75.53,5.863000026,,,,
11.1,75.07,5.864000005,,,,
11.116667,75.43,5.864000005,,,,
11.133333,75.3,5.863000026,,,,
11.15,75.15,5.864000005,,,,
11.166667,75.55,5.863000026,,,,
11.183333,75.26,5.864000005,,,,
11.2,75.33,5.862000047,,,,
11.216667,75.27,5.860999971,,,,
11.233333,75.37,5.863000026,,,,
11.25,75.4,5.862000047,,,,
11.266667,75.58,5.862000047,,,,
11.283333,75.5,5.860999971,,,,
11.3,75.41,5.864000005,,,,
11.316667,75.19,5.863000026,,,,
11.333333,75.13,5.862000047,,,,
11.35,75.34,5.862000047,,,,
11.366667,75.51,5.863000026,,,,
11.383333,75.31,5.859999992,,,,
11.4,75.17,5.859999992,,,,
11.416667,75.28,5.860999971,,,,
11.433333,75.34,5.860999971,,,,
11.45,75.33,5.859999992,,,,
11.466667,75.34,5.859999992,,,,
11.483333,75.26,5.859999992,,,,
11.5,75.21,5.858000034,,,,
11.516667,75.46,5.858000034,,,,
11.533333,74.91,5.859000013,,,,
11.55,75.58,5.863000026,,,,
11.566667,75.43,5.859000013,,,,
11.583333,75.54,5.858000034,,,,
11.6,75.53,5.859000013,,,,
11.616667,75.26,5.859000013,,,,
11.633333,75.33,5.859000013,,,,
11.65,75.72,5.858000034,,,,
11.666667,75.12,5.858000034,,,,
11.683333,75.38,5.859000013,,,,
11.7,75.46,5.859000013,,,,
11.716667,75.27,5.855999979,,,,
11.733333,75.16,5.856999958,,,,
11.75,75.2,5.853000042,,,,
11.766667,75.48,5.855999979,,,,
11.783333,75.52,5.859000013,,,,
11.8,75.33,5.859000013,,,,
11.816667,75.4,5.856999958,,,,
11.833333,75.27,5.856999958,,,,
11.85,75.09,5.855999979,,,,
11.866667,75.22,5.856999958,,,,
11.883333,75.16,5.856999958,,,,
11.9,75.1,5.855,,,,
11.916667,75.46,5.855999979,,,,
11.933333,75.32,5.856999958,,,,
11.95,75.3,5.856999958,,,,
11.966667,75.31,5.854000021,,,,
11.983333,75.36,5.855,,,,
12,75.56,5.855999979,,,,
12.016667,75.22,5.854000021,,,,
12.033333,75.41,5.854000021,,,,
12.05,75.38,5.854000021,,,,
12.066667,75.27,5.851999966,,,,
12.083333,75.45,5.854000021,,,,
12.1,75.4,5.855,,,,
12.116667,75.38,5.855,,,,
12.133333,75.47,5.854000021,,,,
12.15,75.09,5.855999979,,,,
12.166667,75.62,5.850999987,,,,
12.183333,75.35,5.853000042,,,,
12.2,75.14,5.851999966,,,,
12.216667,75.54,5.854000021,,,,
12.233333,75.31,5.851999966,,,,
12.25,75.34,5.854000021,,,,
12.266667,74.98,5.851999966,,,,
12.283333,75.31,5.853000042,,,,
12.3,75.16,5.850999987,,,,
12.316667,75.41,5.850999987,,,,
12.333333,75.42,5.850999987,,,,
12.35,75.21,5.850000008,,,,
12.366667,75.38,5.850000008,,,,
12.383333,75.09,5.851999966,,,,
12.4,75.34,5.850000008,,,,
12.416667,75.52,5.849000029,,,,
12.433333,75.5,5.850000008,,,,
12.45,75.68,5.850000008,,,,
12.466667,75.2,5.849000029,,,,
12.483333,75.47,5.849000029,,,,
12.5,75.39,5.849000029,,,,
12.516667,75.61,5.849000029,,,,
12.533333,75.41,5.850000008,,,,
12.55,75.82,5.849000029,,,,
12.566667,75.22,5.850000008,,,,
12.583333,75.54,5.847999954,,,,
12.6,75.38,5.845000016,,,,
12.616667,75.1,5.847999954,,,,
