model,r_squared,bottom_limit,upper_limit,arrhenius_k
A2,0.9000714046189684,0.05,0.95,0.2152236446329742
A3,0.4808516606327462,0.05,0.95,0.193579109237798
A4,-0.2841816278755698,0.05,0.95,0.18411265329798487
D1,0.9208401013422775,0.05,0.95,0.10712290353442752
D2,0.9153962906411127,0.05,0.95,0.08637926118233161
D3,0.8544432765675085,0.05,0.95,0.03643845982099284
D4,0.9010839033621585,0.05,0.95,0.023618993524504403
F0,0.8136900103440707,0.05,0.95,0.12744939922308007
F1,0.9478972319356489,0.05,0.95,0.3060533396719374
F2,0.6898670279854339,0.05,0.95,1.2276143467420384
F3,0.45498519164664597,0.05,0.95,8.277021535907322
P2,0.056902349884078496,0.05,0.95,0.14144390421938574
P3,-1.4097513862991327,0.05,0.95,0.14709397330111781
P4,-3.6030644340078952,0.05,0.95,0.1501720154297093
R2,0.9482943475264732,0.05,0.95,0.09355188689134483
R3,0.9633191447621641,0.05,0.95,0.07251185974727464
